State,Park,RecreationVisitors,RecreationVisitors%,RecreationVisitorDays,RecreationVisitorDays%,NonRecreationVisitors,NonRecreationVisitors%,RecreationVisitorHours,RecreationVisitorHours%,NonRecreationVisitorHours,NonRecreationVisitorHours%
Massachusetts,Adams NHP,45656,0.8097,3733,0.8192,446,-0.525,44806,0.8195999999999999,224,-0.5214
Massachusetts,Boston African American NHS,393386,0.009000000000000001,65564,0.009000000000000001,0,,786772,0.009000000000000001,0,
Massachusetts,Boston Harbor Islands NRA,28157,0.0060999999999999995,586,0.0051,0,,7039,0.0059,0,
Massachusetts,Boston NHP,2744458,0.0902,183454,0.0704,51660,0.0034999999999999996,2201456,0.0704,8784,0.0037
Massachusetts,Cape Cod NS,3823242,0.0039000000000000003,601784,0.0005,29548,0.0,7221409,0.0005,177288,0.0
Massachusetts,Frederick Law Olmsted NHS,13218,0.1104,2203,0.1104,0,,26436,0.1104,0,
Massachusetts,John F. Kennedy NHS,18180,1.222,757,1.2265000000000001,0,,9089,1.2217,0,
Massachusetts,Longfellow House Washington's HQ NHS,51496,-0.2357,6437,-0.23559999999999998,0,,77247,-0.2357,0,
Massachusetts,Lowell NHP,264456,0.0318,34620,0.023700000000000002,149,0.5204,415442,0.0236,224,0.5238
Massachusetts,Minute Man NHP,879316,-0.1219,109914,-0.1219,0,,1318972,-0.1219,0,
Massachusetts,New Bedford Whaling NHP,18330,0.0761,202,-0.06480000000000001,0,,2433,-0.0617,0,
Massachusetts,Salem Maritime NHS,488831,-0.1026,22704,-0.031400000000000004,0,,272448,-0.031400000000000004,0,
Massachusetts,Saugus Iron Works NHS,51921,0.25670000000000004,6489,0.2566,23633,0.12560000000000002,77879,0.25670000000000004,2365,0.12619999999999998
Massachusetts,Springfield Armory NHS,15925,0.013600000000000001,2653,0.0134,0,,31845,0.0134,0,
Michigan,Isle Royale NP,28806,-0.0055000000000000005,129341,0.0178,68,-0.2766,1552101,0.0178,34512,-0.2882
Michigan,Keweenaw NHP,31191,0.0674,3839,0.0599,472,-0.40700000000000003,46071,0.059699999999999996,472,-0.40700000000000003
Michigan,Pictured Rocks NL,953052,0.0462,599774,0.0217,1850,-0.41100000000000003,7197299,0.0217,554,-0.9333
Michigan,River Raisin NBP,240556,-0.0484,40092,-0.0484,0,,481112,-0.0484,0,
Michigan,Sleeping Bear Dunes NL,1670025,0.0449,757065,0.034,0,,9084790,0.034,0,
Minnesota,Grand Portage NM,88931,0.0072,15787,0.015600000000000001,0,,189451,0.015600000000000001,0,
Minnesota,Mississippi NRRA,256133,-0.1309,34643,-0.0842,0,,415719,-0.0842,0,
Minnesota,Pipestone NM,83033,-0.0019,17298,-0.0018,0,,207581,-0.0019,0,
Minnesota,Saint Croix NSR,450413,0.1173,341675,0.046,0,,4100110,0.046,0,
Minnesota,Voyageurs NP,199030,-0.0987,91425,0.1613,0,,1097107,0.1613,0,
Mississippi,Emmett Till and Mamie Till-Mobley NM,1759,,240,,4560,,2884,,7080,
Mississippi,Gulf Islands NS,2410155,-0.24059999999999998,837977,-0.1595,205070,-0.2426,10055729,-0.1595,32812,-0.2426
Mississippi,Medgar and Myrlie Evers Home NM,71554,0.20170000000000002,3093,-0.2579,0,,37127,-0.25780000000000003,0,
Mississippi,Natchez NHP,21520,-0.6481999999999999,5860,-0.5927,0,,70321,-0.5928,0,
Mississippi,Natchez Trace PKWY,5891867,0.0855,1980858,0.0852,7516486,0.0,23770299,0.0852,7516486,0.0
Mississippi,Vicksburg NMP,403332,0.1759,74747,0.18239999999999998,0,,896970,0.18239999999999998,0,
Missouri,Gateway Arch NP,2563052,0.0579,469892,0.0579,0,,5638714,0.0579,0,
Missouri,George Washington Carver NM,39081,0.0483,4233,0.0483,0,,50807,0.0483,0,
Missouri,Harry S Truman NHS,24102,-0.08449999999999999,1358,-0.0959,0,,16303,-0.0956,0,
Missouri,Ozark NSR,1343779,0.0072,301088,-0.035,0,,3613064,-0.035,0,
Missouri,Ste. Genevieve NHP,23893,,832,,180,,9984,,1260,
Missouri,Ulysses S. Grant NHS,44732,0.3529,5591,0.3528,0,,67096,0.3528,0,
Missouri,Wilson's Creek NB,357805,0.1295,59634,0.1295,0,,715612,0.1295,0,
Montana,Big Hole NB,45211,-0.18100000000000002,5243,-0.1729,0,,62924,-0.1728,0,
Montana,Bighorn Canyon NRA,118701,0.0096,41452,0.055,4695,0.0,497424,0.055,2345,0.0
Montana,Glacier NP,3208755,0.09380000000000001,2920641,0.0705,3058,0.1566,35047693,0.0705,26772,0.1703
Montana,Grant-Kohrs Ranch NHS,27479,0.0096,2816,0.009300000000000001,0,,33800,0.0095,0,
Montana,Little Bighorn Battlefield NM,111825,-0.508,9318,-0.5081,976,-0.5341,111826,-0.5081,490,-0.5329
Montana,Yellowstone NP,2419622,0.054000000000000006,2430803,0.0536,22820,-0.1389,29169641,0.0536,91288,-0.1389
Nebraska,Agate Fossil Beds NM,19395,0.2463,4158,0.2646,0,,49907,0.2648,0,
Nebraska,Homestead NHP,52330,0.049800000000000004,7131,0.0535,309319,-0.1033,85573,0.0535,49492,-0.1033
Nebraska,Niobrara NSR,74387,-0.0111,47777,-0.0184,0,,573333,-0.0184,0,
Nebraska,Scotts Bluff NM,183915,0.0554,29119,0.0553,0,,349436,0.0554,0,
Nevada,Death Valley NP,64,0.48840000000000006,29,0.45,0,,355,0.4669,0,
Nevada,Great Basin NP,152068,0.061399999999999996,118456,-0.062,3500,1.9166999999999998,1421472,-0.062,1750,1.9166999999999998
Nevada,Lake Mead NRA,4809640,0.1059,2912947,0.0877,162912,0.0746,34955368,0.0877,977462,0.0745
Nevada,Tule Springs Fossil Beds NM,60431,0.0049,7553,0.0049,0,,90646,0.0049,0,
New Hampshire,Saint-Gaudens NHP,26685,-0.1261,4170,-0.11779999999999999,0,,50046,-0.11779999999999999,0,
New Jersey,Delaware Water Gap NRA,2896630,-0.0304,1030706,-0.018799999999999997,38340,0.0,12368472,-0.018799999999999997,19176,0.0
New Jersey,Gateway NRA,1863221,0.126,525644,0.1304,204480,0.0053,6307728,0.1304,408960,0.0053
New Jersey,Morristown NHP,208138,-0.1333,50424,-0.08779999999999999,0,,605094,-0.08779999999999999,0,
New Jersey,Paterson Great Falls NHP,210741,-0.2468,30369,-0.43770000000000003,0,,364439,-0.43770000000000003,0,
