city,city_ascii,state_id,state_name,county_name,lat,lng,population,density,timezone
Liberal,Liberal,MO,Missouri,Barton,37.559,-94.5161,776,355.2,America/Chicago
Harwood,Harwood,ND,North Dakota,Cass,46.9762,-96.8802,775,229.5,America/Chicago
Elkton,Elkton,MI,Michigan,Huron,43.8183,-83.1809,775,298.9,America/Detroit
Oshkosh,Oshkosh,NE,Nebraska,Garden,41.408,-102.3452,775,445.3,America/Denver
Brinnon,Brinnon,WA,Washington,Jefferson,47.6689,-122.9248,774,31.2,America/Los_Angeles
Clifton,Clifton,ID,Idaho,Franklin,42.1873,-112.0046,774,130.0,America/Boise
Lee,Lee,FL,Florida,Madison,30.4114,-83.3003,774,122.7,America/New_York
Valley View,Valley View,TX,Texas,Cooke,33.4859,-97.1601,774,124.9,America/Chicago
Bradford,Bradford,IL,Illinois,Stark,41.1772,-89.6583,773,749.2,America/Chicago
Frenchburg,Frenchburg,KY,Kentucky,Menifee,37.9542,-83.6226,773,355.4,America/New_York
