County,PovertyPopulation,PovertyPopulation%
Menifee County,1558,0.251
Metcalfe County,2505,0.242
Muhlenberg County,5786,0.20199999999999999
Nelson County,6100,0.129
Nicholas County,1296,0.172
Oldham County,3801,0.057999999999999996
Owsley County,1294,0.331
Pendleton County,1945,0.132
Powell County,2782,0.221
Robertson County,442,0.196
Rockcastle County,3446,0.218
Rowan County,5199,0.24
Simpson County,2691,0.13699999999999998
Todd County,2011,0.163
Trigg County,1939,0.136
Trimble County,1128,0.132
Wolfe County,1753,0.28600000000000003
Acadia Parish,13947,0.25
Allen Parish,3869,0.201
Ascension Parish,13963,0.107
Assumption Parish,3652,0.183
Avoyelles Parish,9590,0.27
Beauregard Parish,5596,0.157
Bienville Parish,3043,0.253
Bossier Parish,17641,0.138
Caddo Parish,50737,0.228
Calcasieu Parish,35387,0.17600000000000002
Caldwell Parish,1757,0.203
Cameron Parish,655,0.138
Catahoula Parish,2368,0.3
Claiborne Parish,3462,0.292
Concordia Parish,4231,0.252
De Soto Parish,4729,0.177
East Baton Rouge Parish,86425,0.2
East Carroll Parish,2398,0.465
East Feliciana Parish,3328,0.19899999999999998
Evangeline Parish,6730,0.222
Franklin Parish,4534,0.239
Grant Parish,3862,0.204
Iberia Parish,14791,0.221
Iberville Parish,5422,0.20199999999999999
Jackson Parish,2716,0.19399999999999998
Jefferson Parish,71376,0.171
Jefferson Davis Parish,5489,0.17800000000000002
Lafayette Parish,41666,0.16899999999999998
Lafourche Parish,17950,0.19399999999999998
La Salle Parish,2555,0.2
Lincoln Parish,12090,0.284
Livingston Parish,20924,0.141
Madison Parish,2880,0.341
Morehouse Parish,7127,0.313
Natchitoches Parish,8290,0.243
Orleans Parish,80769,0.231
Ouachita Parish,32634,0.214
Plaquemines Parish,3376,0.156
Pointe Coupee Parish,3978,0.201
Rapides Parish,24624,0.19899999999999998
Red River Parish,1753,0.245
Richland Parish,4723,0.251
Sabine Parish,4164,0.193
St. Bernard Parish,7958,0.18
St. Charles Parish,6468,0.129
St. Helena Parish,2421,0.228
St. James Parish,2879,0.151
St. John the Baptist Parish,6589,0.168
St. Landry Parish,18651,0.23199999999999998
St. Martin Parish,9158,0.18100000000000002
St. Mary Parish,9901,0.214
St. Tammany Parish,32491,0.11900000000000001
Tangipahoa Parish,25447,0.19
Tensas Parish,1158,0.308
Terrebonne Parish,16450,0.161
Union Parish,3701,0.183
Vermilion Parish,9840,0.175
Vernon Parish,7453,0.16699999999999998
Washington Parish,10030,0.233
Webster Parish,7064,0.203
West Baton Rouge Parish,3749,0.136
West Carroll Parish,1810,0.196
West Feliciana Parish,2222,0.223
Winn Parish,2852,0.242
Androscoggin County,14094,0.13
Aroostook County,7949,0.121
Kennebec County,14132,0.115
Oxford County,8529,0.145
Penobscot County,18810,0.126
Piscataquis County,2640,0.153
Sagadahoc County,3229,0.087
Somerset County,6725,0.133
Waldo County,5066,0.127
York County,17462,0.081
Allegany County,11503,0.188
Anne Arundel County,36637,0.063
Baltimore County,80251,0.098
Calvert County,4626,0.049
Caroline County,4416,0.133
Cecil County,10384,0.1
Charles County,13202,0.078
Dorchester County,5094,0.157
Frederick County,18475,0.064
Garrett County,2993,0.10800000000000001
Harford County,19117,0.073
Prince George's County,101680,0.11
Queen Anne's County,3404,0.065
St. Mary's County,9431,0.084
Wicomico County,15578,0.154
Worcester County,5413,0.10099999999999999
Baltimore city,110261,0.20199999999999999
Barnstable County,20388,0.08900000000000001
Berkshire County,15266,0.125
Bristol County,72670,0.127
Dukes County,1755,0.085
Essex County,76541,0.096
Hampden County,78475,0.17600000000000002
Hampshire County,17279,0.124
Middlesex County,120838,0.077
Nantucket County,935,0.065
Norfolk County,54608,0.077
Suffolk County,109289,0.151
Alcona County,1641,0.158
Alger County,1015,0.129
Allegan County,11987,0.099
Alpena County,4536,0.159
Antrim County,2454,0.10099999999999999
Arenac County,2259,0.15
Baraga County,1157,0.156
Barry County,5229,0.083
Benzie County,1765,0.09699999999999999
Branch County,6458,0.149
Charlevoix County,2363,0.091
Cheboygan County,3623,0.14
Chippewa County,4364,0.136
Clare County,6519,0.21100000000000002
Eaton County,10788,0.10099999999999999
Genesee County,70895,0.179
Gladwin County,3635,0.142
Gogebic County,2411,0.17300000000000001
Grand Traverse County,7059,0.07400000000000001
Gratiot County,5797,0.163
Hillsdale County,6545,0.14800000000000002
Houghton County,5779,0.171
Huron County,4377,0.14300000000000002
Ingham County,42961,0.162
Ionia County,8022,0.133
Iosco County,4720,0.188
Iron County,2060,0.179
Isabella County,12596,0.21
Kalamazoo County,33110,0.13
Kalkaska County,2548,0.14
Keweenaw County,261,0.12
Lapeer County,8196,0.094
Leelanau County,1636,0.07200000000000001
Lenawee County,9887,0.106
Luce County,1053,0.20199999999999999
Mackinac County,1466,0.136
Macomb County,91776,0.106
Manistee County,3434,0.141
Marquette County,8960,0.14300000000000002
Mecosta County,7354,0.184
Menominee County,3360,0.14800000000000002
Midland County,10077,0.121
Missaukee County,1741,0.115
Montcalm County,8639,0.138
Montmorency County,1703,0.177
Muskegon County,24094,0.14
Newaygo County,7058,0.14
Oakland County,103791,0.083
Oceana County,3962,0.14800000000000002
Ogemaw County,3250,0.157
Ontonagon County,763,0.13
Oscoda County,1584,0.187
Otsego County,2664,0.10400000000000001
Presque Isle County,1729,0.131
Roscommon County,3714,0.157
Saginaw County,29498,0.162
Sanilac County,5289,0.133
Schoolcraft County,1162,0.145
Shiawassee County,8252,0.122
Tuscola County,7469,0.14300000000000002
Washtenaw County,50467,0.146
Wexford County,4520,0.134
Aitkin County,1914,0.121
Anoka County,23998,0.065
Becker County,4094,0.11800000000000001
Beltrami County,7612,0.171
Big Stone County,587,0.11800000000000001
Blue Earth County,9388,0.14300000000000002
Carlton County,3194,0.091
Carver County,5081,0.046
Chisago County,3172,0.055999999999999994
Cottonwood County,1244,0.11199999999999999
Crow Wing County,6191,0.092
Dakota County,26470,0.06
Faribault County,1551,0.113
Fillmore County,2031,0.096
Freeborn County,3158,0.105
Goodhue County,3433,0.073
Hennepin County,125382,0.10099999999999999
Hubbard County,2337,0.107
Isanti County,3273,0.077
Itasca County,5631,0.127
Kanabec County,1639,0.1
Kandiyohi County,5211,0.121
Kittson County,362,0.092
Koochiching County,1435,0.124
Lac qui Parle County,615,0.095
